"","Position","Track.Name","Artist","Streams","URL","Date","Region","track_id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"57","56","Lucky You (feat. Joyner Lucas)","Eminem","1169357","https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0","2018-11-01","global","60SdxE8apGAxMiRrpbmLY0","7dGJo4pcD2V6oG8kP0tJRR;6C1ohJrd5VydigQtaGy5Wa",0.876,0.786,10,-4.884,0,0.306,0.0627,0,0.127,0.575,153.068,244679,4,"spotify:track:60SdxE8apGAxMiRrpbmLY0","https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0"
"58","57","Money","Cardi B","1163523","https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e","2018-11-01","global","2GGMabyHXnJmjY6CXhhB2e","4kYSro6naA4h99UJvo89HB",0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,183527,4,"spotify:track:2GGMabyHXnJmjY6CXhhB2e","https://api.spotify.com/v1/audio-analysis/2GGMabyHXnJmjY6CXhhB2e"
"59","58","Bohemian Rhapsody - Remastered 2011","Queen","1161032","https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J","2018-11-01","global","7tFiyTwD0nx5a1eklYtX2J","1dfeR4HaWDbWqFHLkxsg1d",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,354320,4,"spotify:track:7tFiyTwD0nx5a1eklYtX2J","https://api.spotify.com/v1/audio-analysis/7tFiyTwD0nx5a1eklYtX2J"
"60","59","Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1150574","https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA","2018-11-01","global","5JEx7HbmvHQQswJCsoo9rA","0X2BH1fck6amBIoJhDVmmJ;5fMUXHkw8R8eOP2RNVYEZX;1zNqQNIdeOUZHb8zbZRFMX",0.574,0.758,1,-5.029,0,0.0621,0.0969,0,0.395,0.492,144.111,182623,4,"spotify:track:5JEx7HbmvHQQswJCsoo9rA","https://api.spotify.com/v1/audio-analysis/5JEx7HbmvHQQswJCsoo9rA"
"61","60","One Kiss (with Dua Lipa)","Calvin Harris","1140925","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-11-01","global","7ef4DlsgrMEH11cDZd32M6","7CajNmpbOovFoOoasH2HaY;6M2wZ9GZgrQXHCFfjv46we",0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847,4,"spotify:track:7ef4DlsgrMEH11cDZd32M6","https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6"
"62","61","God's Plan","Drake","1137442","https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn","2018-11-01","global","6DCZcSspjsKoFjzjrWoCdn","3TVXtAsR1Inumwj472S9r4",0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,198973,4,"spotify:track:6DCZcSspjsKoFjzjrWoCdn","https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn"
"63","62","Noticed","Lil Mosey","1130182","https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP","2018-11-01","global","6JQvHMSaR8flFsN53ypOfP","5zctI4wO9XSKS8XwcnqEHk",0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,165000,4,"spotify:track:6JQvHMSaR8flFsN53ypOfP","https://api.spotify.com/v1/audio-analysis/6JQvHMSaR8flFsN53ypOfP"
"64","63","Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","1127047","https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ","2018-11-01","global","6wWaVoUOzLQJHd3bWAUpdZ","5f7VJjfbwm532GiveGC0ZK;2hlmm7s2ICUX0LVIhVFlZQ;3TVXtAsR1Inumwj472S9r4",0.753,0.686,1,-5.415,0,0.284,0.0677,0,0.193,0.886,132.055,194732,4,"spotify:track:6wWaVoUOzLQJHd3bWAUpdZ","https://api.spotify.com/v1/audio-analysis/6wWaVoUOzLQJHd3bWAUpdZ"
"65","64","changes","XXXTENTACION","1126406","https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO","2018-11-01","global","7AFASza1mXqntmGtbxXprO","15UsOTVnJzReFVN1VCnxy4",0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,121887,4,"spotify:track:7AFASza1mXqntmGtbxXprO","https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO"
"66","65","Body (feat. Brando)","Loud Luxury","1124096","https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs","2018-11-01","global","7K7MUBCnzgBAvMVW2RTWNs","6t1gpxYbY8OlLA7D2RiikQ;5uEeqYFuIChoWKy34jp8xE",0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4,"spotify:track:7K7MUBCnzgBAvMVW2RTWNs","https://api.spotify.com/v1/audio-analysis/7K7MUBCnzgBAvMVW2RTWNs"
"67","66","Solo (feat. Demi Lovato)","Clean Bandit","1112910","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-11-01","global","6kPJZM97LwdG9QIsT7khp6","6MDME20pz9RveH9rEXvrOM;6S2OmqARrzebs0tKUEyXyp",0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,4,"spotify:track:6kPJZM97LwdG9QIsT7khp6","https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6"
"68","67","Shotgun","George Ezra","1084779","https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC","2018-11-01","global","4ofwffwvvnbSkrMSCKQDaC","2ysnwxxNtSgbb9t1m2Ur4j",0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,4,"spotify:track:4ofwffwvvnbSkrMSCKQDaC","https://api.spotify.com/v1/audio-analysis/4ofwffwvvnbSkrMSCKQDaC"
"69","68","Amigos Con Derechos","Reik","1079238","https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA","2018-11-01","global","2zDj4WjbNDmrRL6Z4YjjCA","0vR2qb8m9WHeZ5ByCbimq2;1r4hJ1h58CWwUQe3MxPuau",0.686,0.807,1,-3.324,1,0.0613,0.0481,0,0.0652,0.63,183.971,227476,4,"spotify:track:2zDj4WjbNDmrRL6Z4YjjCA","https://api.spotify.com/v1/audio-analysis/2zDj4WjbNDmrRL6Z4YjjCA"
"70","69","lovely (with Khalid)","Billie Eilish","1057129","https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4","2018-11-01","global","0u2P5u6lvoDfwTYjAADbn4","6qqNVTkY8uBg9cP3Jd7DAH;6LuN9FCkKOj5PcnpouEgny",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4"
"71","70","Mala Mía","Maluma","1051859","https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh","2018-11-01","global","62o8KoI44JfN7aYxgTnPvh","1r4hJ1h58CWwUQe3MxPuau",0.749,0.752,6,-4.883,1,0.345,0.31,0,0.232,0.901,180.049,183753,4,"spotify:track:62o8KoI44JfN7aYxgTnPvh","https://api.spotify.com/v1/audio-analysis/62o8KoI44JfN7aYxgTnPvh"
"72","71","2002","Anne-Marie","1043459","https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo","2018-11-01","global","2BgEsaKNfHUdlh97KmvFyo","1zNqDE7qDGCsyzJwohVaoX",0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4,"spotify:track:2BgEsaKNfHUdlh97KmvFyo","https://api.spotify.com/v1/audio-analysis/2BgEsaKNfHUdlh97KmvFyo"
"73","72","Shape of You","Ed Sheeran","1042047","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-11-01","global","7qiZfU4dY1lWllzX7mPBI3","6eUKZXaKkcviH0Ku9w2n3V",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,"spotify:track:7qiZfU4dY1lWllzX7mPBI3","https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3"
"74","73","Sin Pijama","Becky G","1029358","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-11-01","global","2ijef6ni2amuunRoKTlgww","4obzFoKoKRHIphyHzJ35G3;1GDbiv3spRmZ1XdM1jQbT7",0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,188560,4,"spotify:track:2ijef6ni2amuunRoKTlgww","https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww"
"75","74","Psycho (feat. Ty Dolla $ign)","Post Malone","1025006","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-11-01","global","3swc6WTsr7rl9DqQKQA55C","246dkjvS1zLTtiykXe5h60;7c0XG5cIJTrrAgEC3ULPiq",0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,221440,4,"spotify:track:3swc6WTsr7rl9DqQKQA55C","https://api.spotify.com/v1/audio-analysis/3swc6WTsr7rl9DqQKQA55C"
"76","75","Leave Me Alone","Flipp Dinero","1020195","https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g","2018-11-01","global","14mHfNsSHN0FbLftyjrV9g","2HUwZ0kumzCSlhFcjFZfpp",0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,195637,4,"spotify:track:14mHfNsSHN0FbLftyjrV9g","https://api.spotify.com/v1/audio-analysis/14mHfNsSHN0FbLftyjrV9g"
"77","76","Imposible","Luis Fonsi","1013670","https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm","2018-11-01","global","3ao3OVxHlb3C08vAaApUlm","4V8Sr092TqfHkfAA5fXXqG;1i8SpTcr7yvPOmcqrbnVXY",0.786,0.764,11,-2.935,1,0.0798,0.122,0,0.102,0.913,90.979,163880,4,"spotify:track:3ao3OVxHlb3C08vAaApUlm","https://api.spotify.com/v1/audio-analysis/3ao3OVxHlb3C08vAaApUlm"
"78","77","Venom - Music From The Motion Picture","Eminem","1008503","https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4","2018-11-01","global","2SL6oP2YAEQbqsrkOzRGO4","7dGJo4pcD2V6oG8kP0tJRR",0.749,0.794,0,-5.063,1,0.064,0.0193,0,0.543,0.46,135.959,269554,4,"spotify:track:2SL6oP2YAEQbqsrkOzRGO4","https://api.spotify.com/v1/audio-analysis/2SL6oP2YAEQbqsrkOzRGO4"
"79","78","Believer","Imagine Dragons","1007481","https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP","2018-11-01","global","0pqnGHJpmpxLKifKRmU6WP","53XhwfbYqKCa1cC15pYq2q",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347,4,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP"
"80","79","God is a woman","Ariana Grande","1005332","https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C","2018-11-01","global","5OCJzvD7sykQEKHH7qAC3C","66CXWjxzNUsdJxJ2JdwvnR",0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4,"spotify:track:5OCJzvD7sykQEKHH7qAC3C","https://api.spotify.com/v1/audio-analysis/5OCJzvD7sykQEKHH7qAC3C"
"81","80","no tears left to cry","Ariana Grande","994050","https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo","2018-11-01","global","2qT1uLXPVPzGgFOx4jtEuo","66CXWjxzNUsdJxJ2JdwvnR",0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4,"spotify:track:2qT1uLXPVPzGgFOx4jtEuo","https://api.spotify.com/v1/audio-analysis/2qT1uLXPVPzGgFOx4jtEuo"
"82","81","breathin","Ariana Grande","970517","https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J","2018-11-01","global","4OafepJy2teCjYJbvFE60J","66CXWjxzNUsdJxJ2JdwvnR",0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,4,"spotify:track:4OafepJy2teCjYJbvFE60J","https://api.spotify.com/v1/audio-analysis/4OafepJy2teCjYJbvFE60J"
"83","82","Fuck Love (feat. Trippie Redd)","XXXTENTACION","970020","https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2","2018-11-01","global","7AQim7LbvFVZJE3O8TYgf2","15UsOTVnJzReFVN1VCnxy4;6Xgp2XMz1fhVYe7i6yNAax",0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4,"spotify:track:7AQim7LbvFVZJE3O8TYgf2","https://api.spotify.com/v1/audio-analysis/7AQim7LbvFVZJE3O8TYgf2"
"84","83","Ya No Tiene Novio","Sebastian Yatra","968717","https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu","2018-11-01","global","7uQmJ1jgNzBpATSoWKSPFu","07YUOmWljBTXwIseAUd9TW;2wkoKEfS6dXwThbyTnZWFU",0.632,0.832,7,-1.948,0,0.154,0.048,0,0.0705,0.784,182.184,198933,4,"spotify:track:7uQmJ1jgNzBpATSoWKSPFu","https://api.spotify.com/v1/audio-analysis/7uQmJ1jgNzBpATSoWKSPFu"
"85","84","There's No Way (feat. Julia Michaels)","Lauv","934816","https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ","2018-11-01","global","2hnxrRNzF74mdDzpQZQukQ","5JZ7CnR6gTvEMKX4g70Amv;0ZED1XzwlLHW4ZaG4lOT6m",0.755,0.625,2,-7.114,1,0.0896,0.49,0,0.157,0.374,147.02,174861,4,"spotify:track:2hnxrRNzF74mdDzpQZQukQ","https://api.spotify.com/v1/audio-analysis/2hnxrRNzF74mdDzpQZQukQ"
"86","85","Thunderclouds","Sia","934522","https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi","2018-11-01","global","5a8RPWgKSmcGBGcffmIrUi","5WUlDfRSoLAfcVSX1WnrxN;5fMUXHkw8R8eOP2RNVYEZX;2feDdbD5araYcm6JhFHHw7;6IZ4ctovY9dl7bgHClAvKJ",0.691,0.716,7,-5.985,1,0.0351,0.0085,9.06e-06,0.263,0.507,112.035,187027,4,"spotify:track:5a8RPWgKSmcGBGcffmIrUi","https://api.spotify.com/v1/audio-analysis/5a8RPWgKSmcGBGcffmIrUi"
"87","86","Culpables","KAROL G","933848","https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH","2018-11-01","global","6q8Lb50EtqNeeJXXe8mMAH","790FomKkXshlbRYZFtlgla;2R21vXR83lH98kGeO99Y66",0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,226627,4,"spotify:track:6q8Lb50EtqNeeJXXe8mMAH","https://api.spotify.com/v1/audio-analysis/6q8Lb50EtqNeeJXXe8mMAH"
"88","87","Happy Now","Kygo","933646","https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4","2018-11-01","global","14sOS5L36385FJ3OL8hew4","23fqKkggKUBHNkbKtXEls4;5JYo7gm2dkyLLlWHjxS7Dy",0.693,0.575,9,-6.998,1,0.0801,0.374,0,0.252,0.492,117.999,211362,4,"spotify:track:14sOS5L36385FJ3OL8hew4","https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4"
"89","88","Perfect","Ed Sheeran","929842","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-11-01","global","0tgVpDi06FyKpA1z0VMD4v","6eUKZXaKkcviH0Ku9w2n3V",0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v"
"90","89","Jackie Chan","Tiësto","922585","https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp","2018-11-01","global","4kWO6O1BUXcZmaxitpVUwp","2o5jDhtHVPhrJdv3cEQ99Z;5vQfv3s2Z2SRdPZKr82ABw;0bdJZl7TDeiymDYzMJnVh2;246dkjvS1zLTtiykXe5h60",0.747,0.834,3,-2.867,0,0.045,0.374,0,0.0586,0.687,128.005,215760,4,"spotify:track:4kWO6O1BUXcZmaxitpVUwp","https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp"
"91","90","Havana (feat. Young Thug)","Camila Cabello","920777","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-11-01","global","1rfofaqEpACxVEHIZBJe6W","4nDoRrQiYLoBzwC5BhVJzF;50co4Is1HCEo8bhOyUWKpn",0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,"spotify:track:1rfofaqEpACxVEHIZBJe6W","https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W"
"92","91","IDGAF","Dua Lipa","897922","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-11-01","global","76cy1WJvNGJTj78UqeA5zr","6M2wZ9GZgrQXHCFfjv46we",0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,217947,4,"spotify:track:76cy1WJvNGJTj78UqeA5zr","https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr"
"93","92","Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo","871752","https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG","2018-11-01","global","5Xn4IyTtW6FUGIUyWjbUHG","07YZf4WDAMNwqr4jfgOZ8y;1Cs0zKBU1kc0i8ypK3B9ai;0hCNtLu0JehylgoiP8L4Gh;4RSyJzf7ef6Iu2rnLdabNq",0.643,0.904,0,-3.694,1,0.0739,0.0776,0,0.189,0.481,103.028,195419,4,"spotify:track:5Xn4IyTtW6FUGIUyWjbUHG","https://api.spotify.com/v1/audio-analysis/5Xn4IyTtW6FUGIUyWjbUHG"
"94","93","Ibiza","Ozuna","869069","https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp","2018-11-01","global","1h9P5WJwyvK8OB7O2YiXgp","1i8SpTcr7yvPOmcqrbnVXY;5lwmRuXgjX8xIwlnauTZIP",0.69,0.71,5,-5.144,1,0.335,0.25,0,0.108,0.726,192.068,200747,4,"spotify:track:1h9P5WJwyvK8OB7O2YiXgp","https://api.spotify.com/v1/audio-analysis/1h9P5WJwyvK8OB7O2YiXgp"
"95","94","Thunder","Imagine Dragons","867236","https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB","2018-11-01","global","1zB4vmk8tFRmM9UULNzbLB","53XhwfbYqKCa1cC15pYq2q",0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147,4,"spotify:track:1zB4vmk8tFRmM9UULNzbLB","https://api.spotify.com/v1/audio-analysis/1zB4vmk8tFRmM9UULNzbLB"
"96","95","Thriller","Michael Jackson","864496","https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0","2018-11-01","global","3S2R0EVwBSAVMd5UMgKTL0","3fMbdgg4jU18AjLCKBhRSm",0.773,0.859,11,-4.913,1,0.0747,0.0855,0.00018,0.914,0.813,118.458,357267,4,"spotify:track:3S2R0EVwBSAVMd5UMgKTL0","https://api.spotify.com/v1/audio-analysis/3S2R0EVwBSAVMd5UMgKTL0"
"97","96","I Fall Apart","Post Malone","851612","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-11-01","global","75ZvA4QfFiZvzhj2xkaWAh","246dkjvS1zLTtiykXe5h60",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4,"spotify:track:75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh"
"98","97","Waste It On Me (feat. BTS)","Steve Aoki","851529","https://open.spotify.com/track/2r1T6xGTVaNAqBoPH4lZEE","2018-11-01","global","2r1T6xGTVaNAqBoPH4lZEE","77AiFEVeAVj2ORpC85QVJs;3Nrfpe0tUJi4K4DXYWgMUX",0.669,0.684,7,-4.595,1,0.0585,0.252,0,0.72,0.466,96.097,192537,4,"spotify:track:2r1T6xGTVaNAqBoPH4lZEE","https://api.spotify.com/v1/audio-analysis/2r1T6xGTVaNAqBoPH4lZEE"
"99","98","New Rules","Dua Lipa","848430","https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O","2018-11-01","global","2xJCMIJfcNYDc5iR0sAm2O","6M2wZ9GZgrQXHCFfjv46we",0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,"spotify:track:2xJCMIJfcNYDc5iR0sAm2O","https://api.spotify.com/v1/audio-analysis/2xJCMIJfcNYDc5iR0sAm2O"
"100","99","Yes Indeed","Lil Baby","843694","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-11-01","global","6vN77lE9LK6HP2DewaN6HZ","5f7VJjfbwm532GiveGC0ZK;3TVXtAsR1Inumwj472S9r4",0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,142273,4,"spotify:track:6vN77lE9LK6HP2DewaN6HZ","https://api.spotify.com/v1/audio-analysis/6vN77lE9LK6HP2DewaN6HZ"
"101","100","1999","Charli XCX","839938","https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8","2018-11-01","global","05mAIVLkIWc2d1UBYZBCp8","25uiPmTg16RbhZWAqwLBy5;3WGpXCj9YhhfX11TToZcXP",0.739,0.742,7,-4.586,1,0.0329,0.0227,1.39e-06,0.229,0.659,124.016,189000,4,"spotify:track:05mAIVLkIWc2d1UBYZBCp8","https://api.spotify.com/v1/audio-analysis/05mAIVLkIWc2d1UBYZBCp8"
