"","doc_id","text","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"552","2TH65lNHgvLxCKXM3apjxI","Se temprano  hay que estudiar  eh Pero a la amiga diciendo pa' janguear (Jeje)  eh Tiene un culito que le acabo de textear  eh (Jah) Pero en Bajita  ella no e' de frontear (Ey  ey) Ella e'  pero pa'l sexo e' atrevida  yo y bebida  la vida como es Ella e'  pero pa'l sexo e' atrevida  yo y bebida  la vida como es Ella no era  ella no era  no la Ella no era  ella no era  no la  pero Ahora enrola (Wuh)  y lo prende (Eh) Es panita (Wuh)  del que vende (Eh)  ey Nena mala de repente (Prr-prr) No si me miente Pero que tiene de 20 Lo' shot' de tequila ni lo' siente (Wuh) Ahora ve la vida diferente Buena  pero le gustan delincuente' La baby llega y se siente la (Eh) Ella ni trata y llama la (Eh) Ey  el perreo e' su (Tra-tra-tra-tra  Siempre puesta pa' la La baby llega y se siente la (Eh) Ella ni trata y llama la (Eh) Ey  el perreo e' su Siempre puesta pa' la E-E-E-E-E-Ella e'  pero pa'l sexo e' atrevida  yo y bebida  la vida como es (Wuh) Ella e'  pero pa'l sexo e' atrevida  yo y bebida  la vida como es Se hace poco y tiene vida nueva (Jah) Anda con una amiga que e' como su jeva Que le trajo 5-12 pa' que se las beba Ella es  no e' que no se atreva Si hay sol  hay playa  si hay playa  hay alcohol Si hay alcohol  hay sexo  si e' contigo  mejor Si hay sol  hay playa  si hay playa  hay alcohol Si hay alcohol  hay sexo  si e' contigo  mejor la ropa que hace calor de playa  noche' de terror En la gaveta el temor Pa' las envidiosa'  paz y amor Yeh  yeh  yeh-yeh-yeh-eh Tainy  Tainy  ey Bad Bunny  baby  Ella e'  pero pa'l sexo e' atrevida  yo y bebida  la vida como es Ella e'  pero pa'l sexo e' atrevida  yo y bebida  la vida como es (Eh) Ella no era  ella no era  no la Ella no era  ella no era  no la  pero y hazte Que la noche lo  el destino lo Ya que lo mismo que yo y Nos queda un ratito para formar el A menos que no te decidas)",0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169
"553","2TIlqbIneP0ZY1O0EzYLlc","I'm going under, and this time, I fear there's no one to save me;This all or nothing really got a way of driving me crazy;I need somebody to heal, somebody to know;Somebody to have, somebody to hold;It's easy to say, but it's never the same;I guess I kinda liked the way you numbed all the pain;Now, the day bleeds into nightfall;And you're not here to get me through it all;I let my guard down and then you pulled the rug;I was getting kinda used to being someone you loved;I'm going under, and this time, I fear there's no one to turn to;This all or nothing way of loving got me sleeping without you;Now, I need somebody to know, somebody to heal;Somebody to have, just to know how it feels;It's easy to say, but it's never the same;I guess I kinda like the way you help me escape;Now, the day bleeds into nightfall;And you're not here to get me through it all;I let my guard down and then you pulled the rug;I was getting kinda used to being someone you loved;And I tend to close my eyes when it hurts sometimes;I fall into your arms;I'll be safe in your sound till I come back around;For now, the day bleeds into nightfall;And you're not here to get me through it all;I let my guard down and then you pulled the rug;I was getting kinda used to being someone you loved;But now the day bleeds into nightfall;And you're not here to get me through it all;I let my guard down and then you pulled the rug;I was getting kinda used to being someone you loved;I let my guard down and then you pulled the rug;I was getting kinda used to being someone you loved",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891
"556","2toVe5hfuIi97ytDPDbQFt","D.A.;Hah;Slide on it pimp game with my pinky ring;Lotta gang, lotta bitches, and a icy chain;Why you claim that you rich? That's a false claim;I be straight to the whip, no baggage claim;Whole lotta styles, can't even pronounce the name;You ain't got no style, see you on my Instagram;I be rockin' it like it's fresh out the pan;Only when I'm takin' pics, I'm the middleman;Walk, talk it like a boss, I just lift a hand;Three million cash, call me Rain Man;Money like a shower, that's my rain dance;And we all in black, like it's Gangland;Say the wrong words, you be hangman;Watch me stick to your bitch like a spray tan;Aw, Mr. What-Kind-of-Car-He-In?;And the city love my name, nigga, I ain't gotta say it;(Taste, taste), she can get a taste;(Taste, taste), she can get a taste;(Taste, taste), fuck what a nigga say;It's all the same like Mary-Kate;(Taste, taste), she can get a taste;(Taste, taste), let you get a taste;(Taste, taste), do you love the taste?;Yeah, that's cool, but he ain't like me;Lotta girls like me, niggas wanna fight me;Nigga, get your ass checked like a fuckin' Nike;Me not icy, that's unlikely;And she gon' suck me like a fuckin' Hi-C;Aw, chains on the neck for the whole team;And I feel like Gucci with the ice cream;And my bitch want the Fenty, not the Maybelline;I'm the black JB, the way these bitches scream;Make these bitches scream;Ah, pretty little thing;Like my nigga A.E.;Say, ""Yadadadamean"";(Taste, taste), she can get a taste;(Taste, taste), she can get a taste;(Taste, taste), fuck what a nigga say;It's all the same like Mary-Kate;(Taste, taste), she can get a taste;(Taste, taste), let you get a taste;(Yes, yes), do you love the taste?;Yeah, that's cool (Offset);Yeah, I'ma put the drip on the plate, yeah (Drip, drip);Diamond ice glacier, niggas imitate (Ice, ice);Ayy, ayy, feed me grapes, Maybach with the drake (Grapes);Slow pace in the Wraith, got this shit from bae (Skrrt);Diamonds up to par (Par), the cookie hittin' hard (Hard);The 'Rari sit in park (Park), on Addy on Mars (Mars);Shotgun shells, we gon' always hit the target (Blah);Popcorn, big shell poppin' out the cartridge (Pop it)3400 Nawfside, Charles Barkley (Nawf)4-8-8, Ferrari (Skrrt);Make her get on top of me and ride me like a Harley (Ride);She wanna keep me company and never wan' depart me, depart me (No);Yeah, fishtail in the parking lot (Skrrt, skrrt);I don't kick it with these niggas 'cause they talk about ya (Yeah);Yeah, and I got the fire, don't make me spark it out ya (Fire);Yeah, keep it in my back pocket like it's a wallet (Who?);Like the way she suck it, suck it like a Jolly (Woah);Stack it up and put it with the whole project (Racks);And she got that Patek on water moccasin (Patek);I'm rich in real life, I get that profit, copy (Hey);(Taste, taste), she can get a taste;(Taste, taste), let you get a taste;(Taste, taste), do you love the taste?;Yeah, that's cool, but he ain't like me;(Taste, taste), LA, you can get a taste;(Taste, taste), Miami, you can get a taste;(Taste, taste), Oakland, you can get a taste;(Taste, taste), New York, do you love the taste?;(Taste, taste), Chi-Town, you can get a taste;(Taste, taste), Houston, you can get a taste;(Taste, taste), ayy, Portland, you can get a taste;(Taste, taste), overseas, let them bitches taste;(Taste, taste), she can get a taste;(Taste, taste), she can get a taste;(Taste, taste), do you love the taste?;(Taste, taste), worldwide, they gon' get a taste",0.866,0.613,0,-6.385,1,0.151,0.0293,0,0.104,0.359,98.001
"566","2ve5NyzWHUbIYxL33goCX7","Said she tired of little money, need a big boy;Pull up 20 inch blades like I'm Lil' Troy;Now it's everybody flockin', need a decoy;Shawty mixing up the vodka with the LaCroix, yeah;G-Wagen, G-Wagen, G-Wagen, G-Wagen;All the housewives pullin' up (Up, up);I got a lot of toys, 720;S bumpin' Fall Out Boy;You was talkin' shit in the beginning (Mm-mm);Back when I was feelin' more forgivin' (More forgivin');I know it piss you off to see me winnin' (See me winnin');See the igloo in my mouth when I be grinnin' (I be grinnin'), yeah;Hunnid bands in my pocket, it's on me;Hunnid deep when I roll like the army;Get more bottles, these bottles are lonely;It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow);Hunnid bands in my pocket, it's on me (On me);Yeah, your grandmama probably know me (Know me);Get more bottles, these bottles are lonely;It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow);Everywhere I go (Hey);Catch me on the block like I'm Mutombo (Wow)750 Lambo in the Utah snow (Skrrt);Trunk in the front like that shit Dumbo, yeah;Cut the roof off like a nip-tuck;Pull up to the house with some big butts;Turn the kitchen counter to a strip-club (Yeah, wow);Me and Dre came for the...;When I got guap, all of y'all just appeared (Wow);Before I dropped Stoney, none of y'all really cared (Cared);Now they always say, ""Congratulations,"" to the kid (Kid);And this is not a 40, but I'm pourin' out this shit (Yeah);Used to have a lot, but I got more now (Yup);Made another hit 'cause I got bored now (Yup);Always goin' for it, never punt fourth down;Last call, Hail Mary, Prescott touchdown, ayy;Hunnid bands in my pocket, it's on me (On me);Hunnid deep when I roll like the army (Hey);Get more bottles, these bottles are lonely;It's a moment when I show up, got 'em sayin', ""Wow"" (Wow, wow);Hunnid bands in my pocket, it's on me (Yeah, yeah);Yeah, your grandmama probably know me (Yeah, yeah);Get more bottles, these bottles are lonely;It's a moment when I show up, got 'em sayin', ""Wow"";Got 'em sayin', ""Wow"";Ayy, ayy, wow;Sayin', ""Wow"";Wow;Wow",0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96
"571","2VxeLyX666F8uXCJ0dZF8B","Tell me somethin', girl;Are you happy in this modern world?;Or do you need more?;Is there somethin' else you're searchin' for?;I'm fallin';In all the good times;I find myself longing for change;And in the bad times, I fear myself;Tell me something, boy;Aren't you tired tryna fill that void?;Or do you need more?;Ain't it hard keepin' it so hardcore?;I'm fallin';In all the good times;I find myself longing for change;And, in the bad times, I fear myself;I'm off the deep end, watch as I dive in;I'll never meet the ground;Crash through the surface where they can't hurt us;We're far from the shallow now;In the sha-ha, sha-la-low;In the sha-sha-la-la-la-low;In the sha-ha, sha-ha-ha-low;We're far from the shallow now;Hoo, huh, uh, huhh-ow;Huh, huhh-huhhh;I'm off the deep end, watch as I dive in;I'll never meet the ground;Crash through the surface where they can't hurt us;We're far from the shallow now;In the sha-ha, sha-la-low;In the sha-ha, sha-la-la-la-low;In the sha-ha, sha-ha-low;We're far from the shallow now",0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799
"582","2xLMifQCjDGFmkHkpNLD9h","Astro  yeah Sun is down  freezin' cold That's how we already know  winter's here My dawg would probably do it for a Louis belt That's just all he know  he don't know nothin' else I tried to show 'em  yeah I tried to show 'em  yeah  yeah Yeah  yeah  yeah Goin' on you with the pick and roll Young La Flame  he in sicko mode Woo  made this here with all the ice on in the booth At the gate outside  when they pull up  they get me loose Yeah  Jump Out boys  that's Nike boys  hoppin' out coupes This shit way too big  when we pull up  give me the loot (Gimme the loot!) Was off the Remy  had a Papoose Had to hit my old town to duck the news Two four hour lockdown  we made no moves Now it's 4 a m  and I'm back up poppin' with the crew I just landed in  Chase B mixes pop like Jamba Juice Different colored chains  think my jeweler really sellin' fruits And they chokin'  man  know the crackers wish it was a noose Some-Some-Some-Someone said To win the retreat  we all in too deep Pl-Pl-Playin' for keeps  don't play us for weak (Someone said) To win the retreat  we all in too deep Pl-Pl-Playin' for keeps  don't play us for weak Yeah  this shit way too formal  y'all know I don't follow suit Stacey Dash  most of these girls ain't got a clue All of these hoes I made off records I produced I might take all my exes and put 'em all in a group Hit my eses  I need the bootch'Bout to turn this function to Bonnaroo Told her  ""Hop in  you comin' too""In the 305  bitches treat me like I'm Uncle Luke (Don't stop  pop that pussy!) Had to slop the top off  it's just a roof  uh She said  ""Where we goin' "" I said  ""The moon""We ain't even make it to the room She thought it was the ocean  it's just the pool Now I got her open  it's just the Goose Who put this shit together  I'm the glue Someone said Shorty Face Timed me out the blue Someone said Pl-Playin' for keeps Someone said  said Don't play us for weak Yeah!Astro  yeah  yeah(Tay Keith  fuck these niggas up!) Ayy  ayy She's in love with who I am Back in high school  I used to bus it to the dance (Yeah) Now I hit the FBO with duffels in my hands I did half a Xan  13 hours 'til I land Had me out like a light  ayy  yeah Like a light  ayy  yeah Like a light  ayy  slept through the flight  ayy Knocked for the night  ayy 767  man  this shit got double bedroom  man I still got scores to settle  man I crept down the block (Down the block) Made a right (Yeah  right) Cut the lights (Yeah  what )  paid the price (Yeah) Niggas think it's sweet (Nah  never)  it's on sight (Yeah  what ) Nothin' nice (Yeah)  baguettes in my ice (Aw  man) Jesus Christ (Yeah)  checks over stripes (Yeah) That's what I like (Yeah)  that's what we like (Yeah) Lost my respect  you not a threat When I shoot my shot  that shit wetty like I'm Sheck (Bitch) See the shots that I took (Ayy)  wet like I'm Book (Ayy) Wet like I'm Lizzie I be spinnin' Valley  circle blocks 'til I'm dizzy (Yeah  what ) Like where is he  (Yeah  what ) No one seen him (Yeah  yeah) I'm tryna clean 'em (Yeah) She's in love with who I am Back in high school  I used to bus it to the dance Now I hit the FBO with duffels in my hands (Woo) I did half a Xan  13 hours 'til I land Had me out like a light (Like a light) Like a light (Like a light) Like a light (Like a light) Like a light Yeah  passed the dawgs a celly Sendin' texts  ain't sendin' kites  yeah He said  ""Keep that on lock"" I say  ""You know this shit  it's stife "" yeah It's absolute  yeah (Yeah)  I'm back  reboot (It's lit) LaFerrari to Jamba Juice  yeah (Skrrt  skrrt) We back on the road  they jumpin' off  no parachute  yeah Shawty in the back She said she workin' on her glutes  yeah (Oh my God) Ain't by the book  yeah  this how it look  yeah'Bout a check  yeah (Check)  just check the foots  yeah Pass this to my daughter  I'ma show her what it took (Yeah) Baby mama cover Forbes  got these other bitches shook Yeah",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008
"637","3ee8Jmje8o58CHK66QrVC2","Yeah;Who am I? Someone that's afraid to let go, uh;You decide if you're ever gonna let me know (Yeah);Suicide if you ever try to let go, uh;I'm sad, I know, yeah, I'm sad, I know, yeah;Who am I? Someone that's afraid to let go, uh;You decide if you're ever gonna let me know (Yeah);Suicide if you ever try to let go, uh;I'm sad, I know, yeah, I'm sad, I know, yeah;I gave her everything;She took my heart and left me lonely;I think broken heart's contagious;I won't fix, I'd rather weep;I'm lost then I'm found;But it's torture bein' in love;I love when you're around;But I fuckin' hate when you leave;Who am I? Someone that's afraid to let go, uh;You decide if you're ever gonna let me know (Yeah);Suicide if you ever try to let go, uh;I'm sad, I know, yeah, I'm sad, I know, yeah;Who am I? Someone that's afraid to let go, uh;You decide if you're ever gonna let me know (Yeah);Suicide if you ever try to let go, uh;I'm sad, I know, yeah, I'm sad, I know, yeah;Who am I? Someone that's afraid to let go, uh;You decide if you're ever gonna let me know (Yeah);Suicide if you ever try to let go, uh;I'm sad, I know, yeah, I'm sad, I know, yeah;Who am I? Someone that's afraid to let go, uh;You decide if you're ever gonna let me know (Yeah);Suicide if you ever try to let go, uh;I'm sad, I know, yeah, I'm sad, I know, yeah",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
"646","3Fj47GNK2kUF0uaEDgXLaD","""Baby, I don't feel so good,"" six words you never understood""I'll never let you go,"" five words you'll never say (Aww);I laugh along like nothing's wrong, four days has never felt so long;If three's a crowd and two was us, one slipped away (Hahahahahahahaha);I just wanna make you feel okay;But all you do is look the other way;I can't tell you how much I wish I didn't wanna stay;I just kinda wish you were gay;Is there a reason we're not through?;Is there a 12 step just for you?;Our conversation's all in blue;11 ""heys"" (Hey, hey, hey, hey);Ten fingers tearin' out my hair;Nine times you never made it there;I ate alone at 7, you were six minutes away(Yay);How am I supposed to make you feel okay;When all you do is walk the other way?;I can't tell you how much I wish I didn't wanna stay;I just kinda wish you were gay;To spare my pride;To give your lack of interest an explanation;Don't say I'm not your type;Just say that I'm not your preferred sexual orientation;I'm so selfish;But you make me feel helpless, yeah;And I can't stand another day;Stand another day;I just wanna make you feel okay;But all you do is look the other way, hmm;I can't tell you how much I wish I didn't wanna stay;I just kinda wish you were gay;I just kinda wish you were gay;I just kinda wish you were gay",0.853,0.351,7,-10.198,1,0.241,0.39,9.38e-06,0.752,0.282,118.028
"705","3s4mrPrEFFPF0LmAfutW0n","Yeah  yeah  yeah Oh  oh  woah Woah  woah Oh(You good  T-Minus ) Oh Me-meet me at The London If you find time  we can run one Talk about some things we can't undo You just send the pin  I can find you6'1""  on the money  9'2"" You just say the word and I'll run through Two texts  no reply  that's when I knew I knew  I knew  yeah  I knew Yeah  circumnavigate the globe as the cash grows (Grow) Get a nigga whacked like you get the grass mowed (Mowed) I'm talkin' slick when I'm with the Big Slime  nigga (Slime) Could hit your bitch  you could never hit mine  nigga (Mine) In my DM  they electric slide  nigga (Huh  slide) No catfishin'  this is not a fish fry  nigga Never switch sides on my dog Catch a contact  hitch a ride  go to Mars Everybody sing How could you come up out your face And say I ain't the hardest nigga you done ever heard  I left a flock of rappers dead and buried A verse from me is like 11 birds Just did the math  that's like two thousand dollars every word I'm on the verge  I'll beat the charge I killed some niggas and I walked away from it Then I observe  just how you curve Then told the nigga that they gotta wait for it""I know you in high demand""I'm ballin' on a pussy nigga like Juwanna Mann I'm drownin' all inside the pussy like I never swam Ayy  fuck your IG  I put somethin' on your sonogram I'm the man  ayy  ayy Me-meet me at The London If you find time  we can run one Talk about some things we can't undo You just send the pin  I can find you6'1""  on the money  9'2"" You just say the word and I'll run through Two texts  no reply  that's when I knew I knew  I knew  yeah  I knew Pimp talk  church talk  I can make a brick walk (Woo) Up north  down south  Bankhead to Rachel Walk (Ayy) Hit it with a little water  stretch it like a vocal cord STD  I run my ward  fuck a fed and his daughter (Let's go) I'ma run the compound (Yeah) I supply the cigarettes and bread (Woo) I got a main and she gon' ride (Uh-huh) She took a quarter and she fled (Uh) I'm in the Lamb  so she gon' ride (Yeah) I see the pain in shawty's light brown eyes (Ooh) I'm at The London with some big thots No fries  she eat steaks with the fish sides Didn't your mama tell you when something on fire  stop  drop and roll  (Aw yeah) I've been on the road like a pair of spinners at Stop-N-Go's (Yeah) I could charge 'em like a Dodge Hemi DemonGot your broad in the garage eatin' semen Every time a nigga go back to the ward Niggas act like they want start And we leave them on the cement (Grra  grra) Me-meet me at The London If you find time  we can run one Talk about some things we can't undo You just send the pin  I can find you6'1""  on the money  9'2"" You just say the word and I'll run through Two texts  no reply  that's when I knew I knew  I knew  yeah  I knew I  crash down  we get money (Hey) For the full town (Woah  when you won't play  I) I decided  for the full side (Hoes will say) And they know  I might (And fly  I   ) Get down  might (Don't play) See the whole town every time  I    (Oh  every day) Yeah  they know what's up (Folks will say)",0.784,0.517,4,-8.981,0,0.209,0.0249,1.44e-06,0.155,0.206,97.991
"811","4evmHXcjt3bTUHD1cvny97","We are, we are, we are;L.A. on a Saturday night in the summer;Sundown and they all come out;Lamborghinis and their rented Hummers;The party's on, so they're headin' downtown ('Round here);Everybody's lookin' for a come up;And they wanna know what you're about;Me in the middle with the one I love and;We're just tryna figure everything out;We don't fit in well 'cause we are just ourselves;I could use some help gettin' out of this conversation, yeah;You look stunning, dear, so don't ask that question here;This is my only fear: that we become;Beautiful people;Drop top, designer clothes;Front row at fashion shows;""What d'you do?"" and ""Who d'you know?"";Inside the world of beautiful people;Champagne and rolled-up notes;Prenups and broken homes;Surrounded, but still alone;Let's leave the party;That's not who we are (We are, we are, we are);We are not beautiful;Yeah, that's not who we are (We are, we are, we are);We are not beautiful (Beautiful);L.A., mmm, drove for hours last night and we made it nowhere (Nowhere, nowhere);I see stars in your eyes when we're halfway there (All night);I'm not fazed by all them lights and flashin' cameras;'Cause with my arms around you, there's no need to care;We don't fit in well, we are just ourselves;I could use some help gettin' out of this conversation, yeah;You look stunning, dear, so don't ask that question here;This is my only fear: that we become;Beautiful people;Drop top, designer clothes;Front row at fashion shows;""What d'you do?"" and ""Who d'you know?"";Inside the world of beautiful people;Champagne and rolled-up notes;Prenups and broken homes;Surrounded, but still alone;Let's leave the party;That's not who we are (We are, we are, we are);We are not beautiful, yeah;Yeah, that's not who we are (We are, we are, we are);We are not beautiful (Beautiful);We are, we are, we are;We are not beautiful",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977
"824","4HFpIAtiojlAuYNmITpYGn","Why're men great 'til they gotta be great?;Woo!;I just took a DNA test, turns out I'm 100% that bitch;Even when I'm crying crazy;Yeah, I got boy problems, that's the human in me;Bling bling, then I solve 'em, that's the goddess in me;You coulda had a bad bitch, non-committal;Help you with your career just a little;You're 'posed to hold me down, but you're holding me back;And that's the sound of me not calling you back;Why're men great 'til they gotta be great? ('Til they gotta be great);Don't text me, tell it straight to my face (Tell it straight to my face);Best friend sat me down in the salon chair (Down in the salon chair);Shampoo press, get you out of my hair;Fresh photos with the bomb lighting (Bomb lighting);New man on the Minnesota Vikings (Minnesota Vikings);Truth hurts, needed something more exciting (Yee);Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah);You tried to break my heart?;Oh, that breaks my heart;That you thought you ever had it;No, you ain't from the start;Hey, I'm glad you're back with your bitch;I mean, who would wanna hide this?;I will never, ever, ever, ever, ever be your side chick;I put the sing in single;Ain't worried 'bout a ring on my finger;So you can tell your friend, ""Shoot your shot"" when you see 'em;It's okay, he already in my DMs;Why're men great 'til they gotta be great? ('Til they gotta be great);Don't text me, tell it straight to my face (Tell it straight to my face);Best friend sat me down in the salon chair (Down in the salon chair);Shampoo press, get you out of my hair;Fresh photos with the bomb lighting (Bomb lighting);New man on the Minnesota Vikings (Minnesota Vikings);Truth hurts, needed something more exciting (Yee);Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah);I'ma hit you back in a minute (Yeah, yeah);I don't play tag, bitch, I been it (One time);We don't fuck with lies (Two times), we don't do goodbyes (Woo);We just keep it pushing like ay-ay-ay;I'ma hit you back in a minute (Yeah, yeah);I don't play tag, bitch, I been it (One time);We don't fuck with lies (Two times), we don't do goodbyes (Woo);We just keep it pushing like ay-ay-ay (Woo);Why're men great 'til they gotta be great? ('Til they gotta be great);Don't text me, tell it straight to my face (Tell it straight to my face);Best friend sat me down in the salon chair (Down in the salon chair);Shampoo press, get you out of my hair;Fresh photos with the bomb lighting (Bomb lighting);New man on the Minnesota Vikings (Minnesota Vikings);Truth hurts, needed something more exciting (Yee);Bom bom bi dom bi dum bum bay (Eh, yeah, yeah, yeah);With the bomb lighting;Minnesota Vikings;Yee, eh, yeah, yeah, yeah",0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087
"841","4kV4N9D1iKVxx1KLvtTpjS","You got me some type of way (Hmm);Ain't used to feelin' this way (Mmm-mmm);I do not know what to say (Yeah, yeah);But I know I shouldn't think about it;Took one fuckin' look at your face (Hmm);Now I wanna know how you taste (Mmm-mmm);Usually don't give it away (Yeah, yeah);But you know I'm out here thinkin' 'bout it;Then I realize she's right there;And I'm at home like, ""Damn, this ain't fair"";Break up with your girlfriend (Girlfriend);Yeah, yeah, 'cause I'm bored;You could hit it in the mornin' (Mornin');Yeah, yeah, like it's yours;I know it ain't right;But I don't care (Care);Break up with your girlfriend (Girlfriend);Yeah, yeah, 'cause I'm bored;This shit always happen to me (Yeah);Why can't we just play for keeps? (Mmm-mmm);Practically on my knees (Yeah, yeah);But I know I shouldn't think about it;You know what you're doin' to me;You're singin' my songs in the streets, yeah, yeah;Actin' all innocent, please;When I know you out here thinkin' 'bout it;Then you realize she's right there (Yeah);And you're at home like, ""Damn, she can't compare"";Break up with your girlfriend (Girlfriend);Yeah, yeah, 'cause I'm bored;You could hit it in the mornin' (In the mornin');Yeah, yeah, like it's yours;I know it ain't right;But I don't care (I don't care, yee);Break up with your girlfriend (With your girlfriend);Yeah, yeah, 'cause I'm bored;With your girlfriend, girlfriend, girlfriend, girlfriend;With your girlfriend;With your girlfriend, girlfriend, girlfriend, girlfriend;You could say I'm hatin' if you want to;But I only hate on her 'cause I want you;Say I'm trippin' if you feel like;But you without me ain't right (Ain't right);You could call me crazy 'cause I want you;And I never even ever fuckin' met you;Say I'm trippin' and it ain't right;But you without me ain't nice (Ain't nice, yeah);Break up with your girlfriend (With your girlfriend);Yeah, yeah, 'cause I'm bored;You could hit it in the mornin' (Hit in the mornin', yeah, yeah, yeah);Yeah, yeah, like it's yours;I know it ain't right;But I don't care (Care, yeah);Break up with your girlfriend (With your girlfriend);Yeah, yeah, 'cause I'm bored;With your girlfriend, girlfriend, girlfriend, baby, girlfriend;With your girlfriend;With your girlfriend, girlfriend, girlfriend, girlfriend;With your girlfriend",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999
"857","4NzMOnvSJVNKF7nw5NkXIP","Billie What do you want from me  Why don't you run from me  What are you wondering  What do you know  Why aren't you scared of me  Why do you care for me  When we all fall asleep  where do we go  Come here Say it  spit it out  what is it exactly You're payin'  Is the amount cleanin' you out  Am I satisfactory  Today  I'm thinkin' about the things that are deadly The way I'm drinkin' you down Like I wanna drown  like I wanna end me Step on the glass  staple your tongue (Ahh) Bury a friend  try to wake up (Ah-ahh) Cannibal class  killing the son (Ahh) Bury a friend  I wanna end me I wanna end me I wanna  I wanna  I end me I wanna  I wanna  I What do you want from me  Why don't you run from me  What are you wondering  What do you know  Why aren't you scared of me  Why do you care for me  When we all fall asleep  where do we go  Listen Keep you in the dark  what had you expected  Me to make you my art and make you a star And get you connected  I'll meet you in the park  I'll be calm and collected But we knew right from the start that you'd fall apart 'Cause I'm too expensive It's probably somethin' that shouldn't be said out loud Honestly  I thought that I would be dead by now (Wow) Calling security  keepin' my head held down Bury the hatchet or bury a friend right now The debt I owe  gotta sell my soul 'Cause I can't say no  no  I can't say no Then my limbs all froze and my eyes won't close And I can't say no  I can't say no Careful Step on the glass  staple your tongue (Ahh) Bury a friend  try to wake up (Ah-ahh) Cannibal class  killing the son (Ahh) Bury a friend  I wanna end me I wanna end me I wanna  I wanna  I end me I wanna  I wanna  I What do you want from me  Why don't you run from me  What are you wondering  What do you know  Why aren't you scared of me  Why do you care for me  When we all fall asleep  where do we go",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046
"858","4O4HtthxTvVL1Z1PuDb7GX","Yeah, I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more(Kio, Kio);I got the horses in the back;Horse tack is attached;Hat is matte black;Got the boots that's black to match;Ridin' on a horse, ha;You can whip your Porsche;I been in the valley;You ain't been up off that porch, now;Can't nobody tell me nothin';You can't tell me nothin';Can't nobody tell me nothin';You can't tell me nothin';Ridin' on a tractor;Lean all in my bladder;Cheated on my baby;You can go and ask her;My life is a movie;Bull ridin' and boobies;Cowboy hat from Gucci;Wrangler on my booty;Can't nobody tell me nothin';You can't tell me nothin';Can't nobody tell me nothin';You can't tell me nothin';Yeah, I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I'm gonna take my horse to the old town road;I'm gonna ride 'til I can't no more;I got the hor-",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041
